"l","robustness"
1,"redundant"
2,"redundant"
3,"redundant"
4,"redundant"
5,"redundant"
6,"redundant"
7,"redundant"
8,"redundant"
9,"ordinary"
10,"redundant"
11,"redundant"
12,"redundant"
13,"redundant"
14,"redundant"
15,"redundant"
16,"redundant"
17,"redundant"
18,"redundant"
19,"redundant"
20,"redundant"
21,"redundant"
22,"redundant"
23,"redundant"
24,"redundant"
25,"redundant"
26,"redundant"
27,"redundant"
28,"redundant"
29,"redundant"
30,"redundant"
31,"redundant"
32,"redundant"
33,"redundant"
34,"redundant"
35,"redundant"
36,"redundant"
37,"redundant"
38,"redundant"
39,"redundant"
40,"redundant"
41,"redundant"
42,"redundant"
43,"redundant"
44,"redundant"
45,"redundant"
46,"redundant"
47,"redundant"
48,"redundant"
49,"redundant"
50,"redundant"
51,"redundant"
52,"redundant"
53,"redundant"
54,"redundant"
55,"redundant"
56,"redundant"
57,"redundant"
58,"redundant"
59,"redundant"
60,"redundant"
61,"redundant"
62,"redundant"
63,"redundant"
64,"redundant"
65,"redundant"
66,"redundant"
67,"redundant"
68,"redundant"
69,"redundant"
70,"redundant"
71,"redundant"
72,"redundant"
73,"redundant"
74,"redundant"
75,"redundant"
76,"redundant"
77,"redundant"
78,"redundant"
79,"redundant"
80,"redundant"
81,"redundant"
82,"redundant"
83,"redundant"
84,"redundant"
85,"redundant"
86,"redundant"
87,"redundant"
88,"redundant"
89,"redundant"
90,"redundant"
91,"ordinary"
92,"redundant"
93,"redundant"
94,"redundant"
95,"redundant"
96,"redundant"
97,"redundant"
98,"redundant"
99,"redundant"
100,"redundant"
101,"redundant"
102,"redundant"
103,"redundant"
104,"redundant"
105,"redundant"
106,"redundant"
107,"redundant"
108,"redundant"
109,"redundant"
110,"redundant"
111,"redundant"
112,"redundant"
113,"redundant"
114,"redundant"
115,"redundant"
116,"redundant"
117,"redundant"
118,"redundant"
119,"redundant"
120,"redundant"
121,"redundant"
122,"redundant"
123,"redundant"
124,"redundant"
125,"redundant"
126,"redundant"
127,"redundant"
128,"redundant"
129,"redundant"
130,"redundant"
131,"redundant"
132,"redundant"
133,"redundant"
134,"redundant"
135,"redundant"
136,"redundant"
137,"redundant"
138,"redundant"
139,"redundant"
140,"redundant"
141,"redundant"
142,"redundant"
143,"redundant"
144,"redundant"
145,"redundant"
146,"redundant"
147,"redundant"
148,"redundant"
149,"redundant"
150,"redundant"
151,"redundant"
152,"redundant"
153,"redundant"
154,"redundant"
155,"redundant"
156,"redundant"
157,"redundant"
158,"redundant"
159,"redundant"
160,"redundant"
161,"redundant"
162,"redundant"
163,"redundant"
164,"redundant"
