{ 0 1 2 5 8 12 16 27 }
{ 0 1 2 5 8 16 27 29 }
{ 0 1 2 5 12 16 27 30 }
{ 0 1 2 5 16 27 29 30 }
{ 0 1 2 7 12 16 27 30 }
{ 0 1 2 7 16 27 29 30 }
{ 0 1 2 8 12 13 16 27 }
{ 0 1 2 8 13 16 27 29 }
{ 0 1 2 12 13 16 27 30 }
{ 0 1 2 13 16 27 29 30 }
{ 0 1 5 6 12 16 27 30 }
{ 0 1 5 6 16 27 29 30 }
{ 0 1 5 8 12 15 16 27 }
{ 0 1 5 8 15 16 27 29 }
{ 0 1 5 12 15 16 27 30 }
{ 0 1 5 15 16 27 29 30 }
{ 0 1 6 12 13 16 27 30 }
{ 0 1 6 13 16 27 29 30 }
{ 0 1 7 12 15 16 27 30 }
{ 0 1 7 15 16 27 29 30 }
{ 0 1 8 12 13 15 16 27 }
{ 0 1 8 13 15 16 27 29 }
{ 0 1 12 13 15 16 27 30 }
{ 0 1 13 15 16 27 29 30 }
{ 0 2 4 5 8 12 16 27 }
{ 0 2 4 5 8 16 27 29 }
{ 0 2 4 5 12 16 27 30 }
{ 0 2 4 5 16 27 29 30 }
{ 0 2 4 7 12 16 27 30 }
{ 0 2 4 7 16 27 29 30 }
{ 0 2 4 8 12 13 16 27 }
{ 0 2 4 8 13 16 27 29 }
{ 0 2 4 12 13 16 27 30 }
{ 0 2 4 13 16 27 29 30 }
{ 0 2 5 8 9 12 16 27 }
{ 0 2 5 8 9 16 27 29 }
{ 0 2 5 8 12 16 17 27 }
{ 0 2 5 8 12 16 18 27 }
{ 0 2 5 8 12 16 19 27 }
{ 0 2 5 8 12 16 23 27 }
{ 0 2 5 8 12 16 24 27 }
{ 0 2 5 8 12 16 27 31 }
{ 0 2 5 8 12 16 27 33 }
{ 0 2 5 8 12 16 27 34 }
{ 0 2 5 8 16 17 27 29 }
{ 0 2 5 8 16 18 27 29 }
{ 0 2 5 8 16 19 27 29 }
{ 0 2 5 8 16 23 27 29 }
{ 0 2 5 8 16 24 27 29 }
{ 0 2 5 8 16 27 29 31 }
{ 0 2 5 8 16 27 29 33 }
{ 0 2 5 8 16 27 29 34 }
{ 0 2 5 9 12 16 27 30 }
{ 0 2 5 9 16 27 29 30 }
{ 0 2 5 12 16 17 27 30 }
{ 0 2 5 12 16 18 27 30 }
{ 0 2 5 12 16 19 27 30 }
{ 0 2 5 12 16 23 27 30 }
{ 0 2 5 12 16 24 27 30 }
{ 0 2 5 12 16 27 30 33 }
{ 0 2 5 12 16 27 30 34 }
{ 0 2 5 16 17 27 29 30 }
{ 0 2 5 16 18 27 29 30 }
{ 0 2 5 16 19 27 29 30 }
{ 0 2 5 16 23 27 29 30 }
{ 0 2 5 16 24 27 29 30 }
{ 0 2 5 16 27 29 30 33 }
{ 0 2 5 16 27 29 30 34 }
{ 0 2 7 9 12 16 27 30 }
{ 0 2 7 9 16 27 29 30 }
{ 0 2 7 12 16 17 27 30 }
{ 0 2 7 12 16 18 27 30 }
{ 0 2 7 12 16 19 27 30 }
{ 0 2 7 12 16 23 27 30 }
{ 0 2 7 12 16 24 27 30 }
{ 0 2 7 12 16 27 30 33 }
{ 0 2 7 12 16 27 30 34 }
{ 0 2 7 16 17 27 29 30 }
{ 0 2 7 16 18 27 29 30 }
{ 0 2 7 16 19 27 29 30 }
{ 0 2 7 16 23 27 29 30 }
{ 0 2 7 16 24 27 29 30 }
{ 0 2 7 16 27 29 30 33 }
{ 0 2 7 16 27 29 30 34 }
{ 0 2 8 9 12 13 16 27 }
{ 0 2 8 9 13 16 27 29 }
{ 0 2 8 12 13 16 17 27 }
{ 0 2 8 12 13 16 18 27 }
{ 0 2 8 12 13 16 19 27 }
{ 0 2 8 12 13 16 23 27 }
{ 0 2 8 12 13 16 24 27 }
{ 0 2 8 12 13 16 27 31 }
{ 0 2 8 12 13 16 27 33 }
{ 0 2 8 12 13 16 27 34 }
{ 0 2 8 13 16 17 27 29 }
{ 0 2 8 13 16 18 27 29 }
{ 0 2 8 13 16 19 27 29 }
{ 0 2 8 13 16 23 27 29 }
{ 0 2 8 13 16 24 27 29 }
{ 0 2 8 13 16 27 29 31 }
{ 0 2 8 13 16 27 29 33 }
{ 0 2 8 13 16 27 29 34 }
{ 0 2 9 12 13 16 27 30 }
{ 0 2 9 13 16 27 29 30 }
{ 0 2 12 13 16 17 27 30 }
{ 0 2 12 13 16 18 27 30 }
{ 0 2 12 13 16 19 27 30 }
{ 0 2 12 13 16 23 27 30 }
{ 0 2 12 13 16 24 27 30 }
{ 0 2 12 13 16 27 30 33 }
{ 0 2 12 13 16 27 30 34 }
{ 0 2 13 16 17 27 29 30 }
{ 0 2 13 16 18 27 29 30 }
{ 0 2 13 16 19 27 29 30 }
{ 0 2 13 16 23 27 29 30 }
{ 0 2 13 16 24 27 29 30 }
{ 0 2 13 16 27 29 30 33 }
