{ 0 1 6 8 10 12 15 }
{ 0 1 6 8 10 12 30 }
{ 0 1 6 8 10 15 22 }
{ 0 1 6 8 10 15 24 }
{ 0 1 6 8 10 22 30 }
{ 0 1 6 8 10 24 30 }
{ 0 1 6 9 10 12 15 }
{ 0 1 6 9 10 12 30 }
{ 0 1 6 9 10 15 22 }
{ 0 1 6 9 10 15 24 }
{ 0 1 6 9 10 22 30 }
{ 0 1 6 9 10 24 30 }
{ 0 1 6 10 12 13 15 }
{ 0 1 6 10 12 13 30 }
{ 0 1 6 10 12 15 16 }
{ 0 1 6 10 12 15 19 }
{ 0 1 6 10 12 15 20 }
{ 0 1 6 10 12 15 21 }
{ 0 1 6 10 12 15 26 }
{ 0 1 6 10 12 15 29 }
{ 0 1 6 10 12 15 31 }
{ 0 1 6 10 12 16 30 }
{ 0 1 6 10 12 19 30 }
{ 0 1 6 10 12 20 30 }
{ 0 1 6 10 12 21 30 }
{ 0 1 6 10 12 26 30 }
{ 0 1 6 10 12 30 31 }
{ 0 1 6 10 13 15 22 }
{ 0 1 6 10 13 15 24 }
{ 0 1 6 10 13 22 30 }
{ 0 1 6 10 13 24 30 }
{ 0 1 6 10 15 16 22 }
{ 0 1 6 10 15 16 24 }
{ 0 1 6 10 15 19 22 }
{ 0 1 6 10 15 19 24 }
{ 0 1 6 10 15 20 22 }
{ 0 1 6 10 15 20 24 }
{ 0 1 6 10 15 21 22 }
{ 0 1 6 10 15 21 24 }
{ 0 1 6 10 15 22 26 }
{ 0 1 6 10 15 22 29 }
{ 0 1 6 10 15 22 31 }
{ 0 1 6 10 15 24 26 }
{ 0 1 6 10 15 24 29 }
{ 0 1 6 10 15 24 31 }
{ 0 1 6 10 16 22 30 }
{ 0 1 6 10 16 24 30 }
{ 0 1 6 10 19 22 30 }
{ 0 1 6 10 19 24 30 }
{ 0 1 6 10 20 22 30 }
{ 0 1 6 10 20 24 30 }
{ 0 1 6 10 21 22 30 }
{ 0 1 6 10 21 24 30 }
{ 0 1 6 10 22 26 30 }
{ 0 1 6 10 22 30 31 }
{ 0 1 6 10 24 26 30 }
{ 0 1 6 10 24 30 31 }
{ 0 6 8 10 12 14 15 }
{ 0 6 8 10 12 14 30 }
{ 0 6 8 10 12 15 28 }
{ 0 6 8 10 14 15 22 }
{ 0 6 8 10 14 15 24 }
{ 0 6 8 10 14 22 30 }
{ 0 6 8 10 14 24 30 }
{ 0 6 8 10 15 22 28 }
{ 0 6 8 10 15 24 28 }
{ 0 6 9 10 12 14 15 }
{ 0 6 9 10 12 14 30 }
{ 0 6 9 10 12 15 28 }
{ 0 6 9 10 14 15 22 }
{ 0 6 9 10 14 15 24 }
{ 0 6 9 10 14 22 30 }
{ 0 6 9 10 14 24 30 }
{ 0 6 9 10 15 22 28 }
{ 0 6 9 10 15 24 28 }
{ 0 6 10 12 13 14 15 }
{ 0 6 10 12 13 14 30 }
{ 0 6 10 12 13 15 28 }
{ 0 6 10 12 14 15 16 }
{ 0 6 10 12 14 15 19 }
{ 0 6 10 12 14 15 20 }
{ 0 6 10 12 14 15 21 }
{ 0 6 10 12 14 15 26 }
{ 0 6 10 12 14 15 29 }
{ 0 6 10 12 14 15 31 }
{ 0 6 10 12 14 16 30 }
{ 0 6 10 12 14 19 30 }
{ 0 6 10 12 14 20 30 }
{ 0 6 10 12 14 21 30 }
{ 0 6 10 12 14 26 30 }
{ 0 6 10 12 14 30 31 }
{ 0 6 10 12 15 16 28 }
{ 0 6 10 12 15 19 28 }
{ 0 6 10 12 15 20 28 }
{ 0 6 10 12 15 21 28 }
{ 0 6 10 12 15 26 28 }
{ 0 6 10 12 15 28 31 }
{ 0 6 10 13 14 15 22 }
{ 0 6 10 13 14 15 24 }
{ 0 6 10 13 14 22 30 }
{ 0 6 10 13 14 24 30 }
{ 0 6 10 13 15 22 28 }
{ 0 6 10 13 15 24 28 }
{ 0 6 10 14 15 16 22 }
{ 0 6 10 14 15 16 24 }
{ 0 6 10 14 15 19 22 }
{ 0 6 10 14 15 19 24 }
{ 0 6 10 14 15 20 22 }
{ 0 6 10 14 15 20 24 }
{ 0 6 10 14 15 21 22 }
{ 0 6 10 14 15 21 24 }
{ 0 6 10 14 15 22 26 }
{ 0 6 10 14 15 22 29 }
{ 0 6 10 14 15 22 31 }
{ 0 6 10 14 15 24 26 }
{ 0 6 10 14 15 24 29 }
{ 0 6 10 14 15 24 31 }
{ 0 6 10 14 16 22 30 }
{ 0 6 10 14 16 24 30 }
{ 0 6 10 14 19 22 30 }
{ 0 6 10 14 19 24 30 }
{ 0 6 10 14 20 22 30 }
{ 0 6 10 14 20 24 30 }
{ 0 6 10 14 21 22 30 }
