{ 2 3 4 12 14 18 22 33 41 }
{ 2 3 4 12 14 18 33 34 41 }
{ 2 3 4 12 14 18 33 35 41 }
{ 2 3 4 12 14 22 25 33 41 }
{ 2 3 4 12 14 22 26 33 41 }
{ 2 3 4 12 14 22 33 36 41 }
{ 2 3 4 12 14 22 33 39 41 }
{ 2 3 4 12 14 25 33 34 41 }
{ 2 3 4 12 14 25 33 35 41 }
{ 2 3 4 12 14 26 33 34 41 }
{ 2 3 4 12 14 26 33 35 41 }
{ 2 3 4 12 14 33 34 36 41 }
{ 2 3 4 12 14 33 34 39 41 }
{ 2 3 4 12 14 33 35 36 41 }
{ 2 3 4 12 14 33 35 39 41 }
{ 2 3 4 14 18 22 24 33 41 }
{ 2 3 4 14 18 24 33 34 41 }
{ 2 3 4 14 18 24 33 35 41 }
{ 2 3 4 14 22 24 26 33 41 }
{ 2 3 4 14 22 24 33 36 41 }
{ 2 3 4 14 22 24 33 39 41 }
{ 2 3 4 14 24 26 33 34 41 }
{ 2 3 4 14 24 26 33 35 41 }
{ 2 3 4 14 24 33 34 36 41 }
{ 2 3 4 14 24 33 34 39 41 }
{ 2 3 4 14 24 33 35 36 41 }
{ 2 3 4 14 24 33 35 39 41 }
{ 2 3 7 12 14 18 22 33 41 }
{ 2 3 7 12 14 18 33 34 41 }
{ 2 3 7 12 14 18 33 35 41 }
{ 2 3 7 12 14 22 25 33 41 }
{ 2 3 7 12 14 22 26 33 41 }
{ 2 3 7 12 14 22 33 36 41 }
{ 2 3 7 12 14 22 33 39 41 }
{ 2 3 7 12 14 25 33 34 41 }
{ 2 3 7 12 14 25 33 35 41 }
{ 2 3 7 12 14 26 33 34 41 }
{ 2 3 7 12 14 26 33 35 41 }
{ 2 3 7 12 14 33 34 36 41 }
{ 2 3 7 12 14 33 34 39 41 }
{ 2 3 7 12 14 33 35 36 41 }
{ 2 3 7 12 14 33 35 39 41 }
{ 2 3 7 14 18 22 24 33 41 }
{ 2 3 7 14 18 24 33 34 41 }
{ 2 3 7 14 18 24 33 35 41 }
{ 2 3 7 14 22 24 26 33 41 }
{ 2 3 7 14 22 24 33 36 41 }
{ 2 3 7 14 22 24 33 39 41 }
{ 2 3 7 14 24 26 33 34 41 }
{ 2 3 7 14 24 26 33 35 41 }
{ 2 3 7 14 24 33 34 36 41 }
