{ 0 1 5 7 11 21 24 26 31 37 }
{ 0 1 5 7 11 21 24 26 35 37 }
{ 0 1 5 7 13 21 24 26 31 37 }
{ 0 1 5 7 13 21 24 26 35 37 }
{ 0 1 5 7 14 21 24 26 31 37 }
{ 0 1 5 7 14 21 24 26 35 37 }
{ 0 1 5 7 17 21 24 26 31 37 }
{ 0 1 5 7 17 21 24 26 35 37 }
{ 0 1 5 7 20 21 24 26 31 37 }
{ 0 1 5 7 20 21 24 26 35 37 }
{ 0 1 5 9 10 21 24 26 31 37 }
{ 0 1 5 9 10 21 24 26 35 37 }
{ 0 1 5 9 15 21 24 26 31 37 }
{ 0 1 5 9 15 21 24 26 35 37 }
{ 0 1 5 9 21 24 26 31 34 37 }
{ 0 1 5 9 21 24 26 31 37 41 }
{ 0 1 5 9 21 24 26 34 35 37 }
{ 0 1 5 9 21 24 26 35 37 41 }
{ 0 1 5 10 13 21 24 26 31 37 }
{ 0 1 5 10 13 21 24 26 35 37 }
{ 0 1 5 10 14 21 24 26 31 37 }
{ 0 1 5 10 14 21 24 26 35 37 }
{ 0 1 5 10 17 21 24 26 31 37 }
{ 0 1 5 10 17 21 24 26 35 37 }
{ 0 1 5 10 20 21 24 26 31 37 }
{ 0 1 5 10 20 21 24 26 35 37 }
{ 0 1 5 11 15 21 24 26 31 37 }
{ 0 1 5 11 15 21 24 26 35 37 }
{ 0 1 5 11 21 24 26 31 34 37 }
{ 0 1 5 11 21 24 26 31 37 41 }
{ 0 1 5 11 21 24 26 34 35 37 }
{ 0 1 5 11 21 24 26 35 37 41 }
{ 0 1 5 13 15 21 24 26 31 37 }
{ 0 1 5 13 15 21 24 26 35 37 }
{ 0 1 5 13 21 24 26 31 34 37 }
{ 0 1 5 13 21 24 26 31 37 41 }
{ 0 1 5 13 21 24 26 34 35 37 }
{ 0 1 5 13 21 24 26 35 37 41 }
{ 0 1 5 14 15 21 24 26 31 37 }
{ 0 1 5 14 15 21 24 26 35 37 }
{ 0 1 5 14 21 24 26 31 34 37 }
{ 0 1 5 14 21 24 26 31 37 41 }
{ 0 1 5 14 21 24 26 34 35 37 }
{ 0 1 5 14 21 24 26 35 37 41 }
{ 0 1 5 15 20 21 24 26 31 37 }
{ 0 1 5 15 20 21 24 26 35 37 }
{ 0 1 5 17 21 24 26 31 34 37 }
{ 0 1 5 17 21 24 26 31 37 41 }
{ 0 1 5 17 21 24 26 34 35 37 }
{ 0 1 5 17 21 24 26 35 37 41 }
{ 0 1 5 20 21 24 26 31 34 37 }
{ 0 1 5 20 21 24 26 31 37 41 }
{ 0 1 5 20 21 24 26 34 35 37 }
{ 0 1 5 20 21 24 26 35 37 41 }
{ 0 1 7 11 16 21 24 26 31 37 }
{ 0 1 7 11 16 21 24 26 35 37 }
{ 0 1 7 11 18 21 24 26 31 37 }
{ 0 1 7 11 18 21 24 26 35 37 }
{ 0 1 7 11 21 23 24 26 31 37 }
{ 0 1 7 11 21 23 24 26 35 37 }
{ 0 1 7 11 21 24 26 30 31 37 }
{ 0 1 7 11 21 24 26 30 35 37 }
{ 0 1 7 11 21 24 26 31 37 38 }
{ 0 1 7 11 21 24 26 31 37 39 }
{ 0 1 7 11 21 24 26 35 37 38 }
{ 0 1 7 11 21 24 26 35 37 39 }
{ 0 1 7 13 16 21 24 26 31 37 }
{ 0 1 7 13 16 21 24 26 35 37 }
{ 0 1 7 13 18 21 24 26 31 37 }
{ 0 1 7 13 18 21 24 26 35 37 }
{ 0 1 7 13 21 23 24 26 31 37 }
{ 0 1 7 13 21 23 24 26 35 37 }
{ 0 1 7 13 21 24 26 30 31 37 }
{ 0 1 7 13 21 24 26 30 35 37 }
{ 0 1 7 13 21 24 26 31 37 38 }
{ 0 1 7 13 21 24 26 31 37 39 }
{ 0 1 7 13 21 24 26 35 37 38 }
{ 0 1 7 13 21 24 26 35 37 39 }
{ 0 1 7 14 16 21 24 26 31 37 }
{ 0 1 7 14 16 21 24 26 35 37 }
{ 0 1 7 14 18 21 24 26 31 37 }
{ 0 1 7 14 18 21 24 26 35 37 }
{ 0 1 7 14 21 23 24 26 31 37 }
{ 0 1 7 14 21 23 24 26 35 37 }
{ 0 1 7 14 21 24 26 30 31 37 }
{ 0 1 7 14 21 24 26 30 35 37 }
{ 0 1 7 14 21 24 26 31 37 38 }
{ 0 1 7 14 21 24 26 31 37 39 }
{ 0 1 7 14 21 24 26 35 37 38 }
