{ 1 8 9 11 14 15 18 21 36 }
{ 1 8 9 11 14 15 18 29 36 }
{ 1 8 9 11 14 15 18 30 36 }
{ 1 8 9 11 14 15 18 36 38 }
{ 1 8 9 11 14 15 19 20 36 }
{ 1 8 9 11 14 15 19 22 36 }
{ 1 8 9 11 14 15 19 23 36 }
{ 1 8 9 11 14 15 19 24 36 }
{ 1 8 9 11 14 15 19 26 36 }
{ 1 8 9 11 14 15 19 28 36 }
{ 1 8 9 11 14 15 19 31 36 }
{ 1 8 9 11 14 15 19 32 36 }
{ 1 8 9 11 14 15 19 33 36 }
{ 1 8 9 11 14 15 19 34 36 }
{ 1 8 9 11 14 15 19 36 39 }
{ 1 8 9 11 14 15 20 21 36 }
{ 1 8 9 11 14 15 20 29 36 }
{ 1 8 9 11 14 15 20 30 36 }
{ 1 8 9 11 14 15 20 36 38 }
{ 1 8 9 11 14 15 21 22 36 }
{ 1 8 9 11 14 15 21 23 36 }
{ 1 8 9 11 14 15 21 24 36 }
{ 1 8 9 11 14 15 21 26 36 }
{ 1 8 9 11 14 15 21 28 36 }
{ 1 8 9 11 14 15 21 31 36 }
{ 1 8 9 11 14 15 21 32 36 }
{ 1 8 9 11 14 15 21 33 36 }
{ 1 8 9 11 14 15 21 34 36 }
{ 1 8 9 11 14 15 21 36 39 }
{ 1 8 9 11 14 15 22 29 36 }
{ 1 8 9 11 14 15 22 30 36 }
{ 1 8 9 11 14 15 22 36 38 }
{ 1 8 9 11 14 15 23 29 36 }
{ 1 8 9 11 14 15 23 30 36 }
{ 1 8 9 11 14 15 23 36 38 }
{ 1 8 9 11 14 15 24 29 36 }
{ 1 8 9 11 14 15 24 30 36 }
{ 1 8 9 11 14 15 24 36 38 }
{ 1 8 9 11 14 15 26 29 36 }
{ 1 8 9 11 14 15 26 30 36 }
{ 1 8 9 11 14 15 26 36 38 }
{ 1 8 9 11 14 15 28 29 36 }
{ 1 8 9 11 14 15 28 30 36 }
{ 1 8 9 11 14 15 28 36 38 }
{ 1 8 9 11 14 15 29 31 36 }
{ 1 8 9 11 14 15 29 32 36 }
{ 1 8 9 11 14 15 29 33 36 }
{ 1 8 9 11 14 15 29 34 36 }
{ 1 8 9 11 14 15 29 36 39 }
{ 1 8 9 11 14 15 30 31 36 }
{ 1 8 9 11 14 15 30 32 36 }
{ 1 8 9 11 14 15 30 33 36 }
{ 1 8 9 11 14 15 30 34 36 }
{ 1 8 9 11 14 15 30 36 39 }
{ 1 8 9 11 14 15 31 36 38 }
{ 1 8 9 11 14 15 32 36 38 }
{ 1 8 9 11 14 15 33 36 38 }
{ 1 8 9 11 14 15 34 36 38 }
{ 1 8 9 11 14 15 36 38 39 }
{ 1 8 9 11 15 18 21 25 36 }
{ 1 8 9 11 15 18 21 27 36 }
{ 1 8 9 11 15 18 25 29 36 }
{ 1 8 9 11 15 18 25 30 36 }
{ 1 8 9 11 15 18 25 36 38 }
{ 1 8 9 11 15 18 27 29 36 }
{ 1 8 9 11 15 18 27 30 36 }
{ 1 8 9 11 15 18 27 36 38 }
