{ 0 6 13 17 18 27 31 35 40 46 54 }
{ 0 6 13 17 18 27 31 35 40 50 54 }
{ 0 6 13 17 18 27 31 35 45 46 54 }
{ 0 6 13 17 18 27 31 35 45 50 54 }
{ 0 6 13 17 18 27 32 37 40 46 54 }
{ 0 6 13 17 18 27 32 37 40 50 54 }
{ 0 6 13 17 18 27 32 37 45 46 54 }
{ 0 6 13 17 18 27 32 37 45 50 54 }
{ 0 6 13 17 18 27 32 40 44 46 54 }
{ 0 6 13 17 18 27 32 40 44 50 54 }
{ 0 6 13 17 18 27 32 40 47 50 54 }
{ 0 6 13 17 18 27 32 45 47 50 54 }
{ 0 6 13 17 18 27 35 37 40 46 54 }
{ 0 6 13 17 18 27 35 37 40 50 54 }
{ 0 6 13 17 18 27 35 37 45 46 54 }
{ 0 6 13 17 18 27 35 37 45 50 54 }
{ 0 6 13 17 18 27 35 40 44 46 54 }
{ 0 6 13 17 18 27 35 40 44 50 54 }
{ 0 6 13 17 18 27 35 40 47 50 54 }
{ 0 6 13 17 18 27 35 45 47 50 54 }
{ 0 6 13 17 20 27 29 35 40 46 54 }
{ 0 6 13 17 20 27 29 35 40 50 54 }
{ 0 6 13 17 20 27 29 35 45 46 54 }
{ 0 6 13 17 20 27 29 35 45 50 54 }
{ 0 6 13 17 20 27 32 40 46 54 59 }
{ 0 6 13 17 20 27 32 40 50 54 59 }
{ 0 6 13 17 20 27 32 45 46 54 59 }
{ 0 6 13 17 20 27 32 45 50 54 59 }
{ 0 6 13 17 20 27 35 40 46 54 59 }
{ 0 6 13 17 20 27 35 40 50 54 59 }
{ 0 6 13 17 20 27 35 45 46 54 59 }
{ 0 6 13 17 20 27 35 45 50 54 59 }
{ 0 6 13 17 27 29 35 37 40 46 54 }
{ 0 6 13 17 27 29 35 37 40 50 54 }
{ 0 6 13 17 27 29 35 37 45 46 54 }
{ 0 6 13 17 27 29 35 37 45 50 54 }
{ 0 6 13 17 27 29 35 40 44 46 54 }
{ 0 6 13 17 27 29 35 40 44 50 54 }
{ 0 6 13 17 27 29 35 40 47 50 54 }
{ 0 6 13 17 27 29 35 45 47 50 54 }
{ 0 6 13 17 27 31 35 40 46 54 59 }
{ 0 6 13 17 27 31 35 40 50 54 59 }
{ 0 6 13 17 27 31 35 45 46 54 59 }
{ 0 6 13 17 27 31 35 45 50 54 59 }
{ 0 6 13 17 27 32 37 40 46 54 59 }
{ 0 6 13 17 27 32 37 40 50 54 59 }
{ 0 6 13 17 27 32 37 45 46 54 59 }
{ 0 6 13 17 27 32 37 45 50 54 59 }
{ 0 6 13 17 27 32 40 44 46 54 59 }
{ 0 6 13 17 27 32 40 44 50 54 59 }
{ 0 6 13 17 27 32 40 47 50 54 59 }
{ 0 6 13 17 27 32 45 47 50 54 59 }
{ 0 6 13 17 27 35 37 40 46 54 59 }
{ 0 6 13 17 27 35 37 40 50 54 59 }
{ 0 6 13 17 27 35 37 45 46 54 59 }
{ 0 6 13 17 27 35 37 45 50 54 59 }
{ 0 6 13 17 27 35 40 44 46 54 59 }
{ 0 6 13 17 27 35 40 44 50 54 59 }
{ 0 6 13 17 27 35 40 47 50 54 59 }
{ 0 6 13 17 27 35 45 47 50 54 59 }
{ 0 6 13 18 22 27 31 35 40 46 54 }
{ 0 6 13 18 22 27 31 35 40 50 54 }
{ 0 6 13 18 22 27 31 35 45 46 54 }
{ 0 6 13 18 22 27 31 35 45 50 54 }
{ 0 6 13 18 22 27 32 37 40 46 54 }
{ 0 6 13 18 22 27 32 37 40 50 54 }
{ 0 6 13 18 22 27 32 37 45 46 54 }
{ 0 6 13 18 22 27 32 37 45 50 54 }
{ 0 6 13 18 22 27 32 40 44 46 54 }
{ 0 6 13 18 22 27 32 40 44 50 54 }
{ 0 6 13 18 22 27 32 40 47 50 54 }
{ 0 6 13 18 22 27 32 45 47 50 54 }
{ 0 6 13 18 22 27 35 37 40 46 54 }
{ 0 6 13 18 22 27 35 37 40 50 54 }
{ 0 6 13 18 22 27 35 37 45 46 54 }
{ 0 6 13 18 22 27 35 37 45 50 54 }
{ 0 6 13 18 22 27 35 40 44 46 54 }
{ 0 6 13 18 22 27 35 40 44 50 54 }
{ 0 6 13 18 22 27 35 40 47 50 54 }
{ 0 6 13 18 22 27 35 45 47 50 54 }
{ 0 6 13 18 27 31 35 38 40 46 54 }
{ 0 6 13 18 27 31 35 38 40 50 54 }
{ 0 6 13 18 27 31 35 38 45 46 54 }
{ 0 6 13 18 27 31 35 38 45 50 54 }
{ 0 6 13 18 27 31 35 40 42 46 54 }
{ 0 6 13 18 27 31 35 40 42 50 54 }
{ 0 6 13 18 27 31 35 40 46 49 54 }
