data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
515,16/07/13,17:24,19:37,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,142,142,P,L,2
516,16/07/13,17:11,19:38,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,4,4,P,L,2
517,16/07/13,17:11,19:43,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,129,129,P,L,2
518,16/07/13,17:24,19:54,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,24,24,P,L,2
519,16/07/13,17:11,19:54,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,51,51,P,L,2
520,17/07/13,17:36,18:27,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,13,33,33,P,L,2
521,17/07/13,17:15,18:36,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,31,31,P,L,2
522,17/07/13,17:36,19:05,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,21,21,P,L,2
523,17/07/13,17:15,19:05,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,50,50,P,L,2
524,17/07/13,17:36,19:12,Erica_cinerea,Bombus_jonellus,Bombus_jonellus,11,90,90,P,L,2
525,17/07/13,17:36,19:29,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,23,23,P,L,2
526,17/07/13,17:36,19:31,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,42,42,P,L,2
527,17/07/13,17:36,19:31,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,0,0,NA,NA,2
528,17/07/13,17:15,19:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,33,33,P,L,2
529,17/07/13,17:15,20:00,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,1,1,NA,NA,2
530,17/07/13,17:36,20:09,Erica_cinerea,Bombus_jonellus,Bombus_jonellus,15,50,50,P,L,2
531,17/07/13,17:05,20:25,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,194,194,P,L,2
532,17/01/00,17:30,18:15,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,14,14,P,L,1
533,17/01/00,17:30,18:50,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,19,19,P,L,1
534,17/01/00,17:30,19:00,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,64,64,P,L,1
535,17/01/00,17:30,19:02,Erica_cinerea,Apis_mellifera,Apis_mellifera,7,20,20,P,L,1
536,17/01/00,17:30,19:45,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,3,3,N,L,1
537,17/01/00,17:30,19:50,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,28,28,P,L,1
538,17/01/00,17:30,20:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,2,2,N,L,1
539,18/07/13,17:17,17:19,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,59,59,P,L,2
540,18/07/13,17:17,17:21,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,68,68,P,L,2
541,18/07/13,17:17,17:21,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,173,173,P,L,2
542,18/07/13,17:17,17:21,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,205,205,P,L,2
543,18/07/13,17:17,19:14,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,18,65,65,P,L,2
544,18/07/13,17:17,19:14,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,0,0,N,L,2
545,18/07/13,17:48,19:16,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,15,15,P,L,2
546,18/07/13,17:48,19:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,27,27,P,L,2
547,18/07/13,17:48,19:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,59,59,P,L,2
548,18/07/13,17:04,19:29,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,55,55,P,L,2
549,18/07/13,17:04,19:29,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,P,L,2
550,18/07/13,17:48,19:52,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,7,7,N,L,2
551,18/07/13,17:04,20:03,Erica_cinerea,Apis_mellifera,Apis_mellifera,3,245,245,P,L,2
552,18/07/13,17:17,20:24,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,74,74,P,L,2
553,15/07/13,17:30,18:55,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,1,1,N,L,3
554,15/07/13,17:30,19:01,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,0,0,N,L,3
555,15/07/13,17:30,19:15,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,3,3,PN,L,3
556,15/07/13,17:30,08:02,Erica_cinerea,Bombus_jonellus,Bombus_jonellus,11,4,4,P,L,3
557,16/07/13,17:38,19:03,Erica_cinerea,Apis_mellifera,Apis_mellifera,12,4,4,N,L,3
558,16/07/13,17:38,19:12,Erica_cinerea,Eupeodes,Eupeodes,2,7,7,P,L,3
559,16/07/13,17:38,20:15,Erica_cinerea,Apis_mellifera,Apis_mellifera,1,1,1,N,L,3
560,17/07/13,17:30,18:33,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,1,1,P,L,3
561,17/07/13,17:30,18:33,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,7,7,P,L,3
562,17/07/13,17:30,18:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,143,143,P,L,3
563,17/07/13,17:30,18:52,Erica_cinerea,halictid,Lasioglossum,10,8,8,P,L,3
564,17/07/13,17:30,20:00,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,85,85,P,L,3
565,17/07/13,17:30,20:05,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,108,108,P,L,3
566,18/07/13,17:41,18:00,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,1,1,N,L,3
567,18/07/13,17:41,18:00,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,4,4,N,L,3
568,18/07/13,17:41,18:06,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,7,7,P,L,3
569,18/07/13,17:41,18:13,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,11,11,P,L,3
570,18/07/13,17:41,18:15,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,50,50,P,L,3
571,18/07/13,17:41,18:26,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,7,12,12,P,L,3
572,18/07/13,17:41,18:28,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,8,16,16,P,L,3
573,18/07/13,17:41,18:28,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,12,2,2,P,L,3
574,18/07/13,17:41,19:04,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,6,6,P,L,3
575,18/07/13,17:41,19:05,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,112,112,P,L,3
576,18/07/13,17:41,19:32,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,29,29,P,L,3
577,19/07/13,16:54,18:09,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,9,9,P,L,3
578,19/07/13,16:54,18:13,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,4,4,PN,R,3
579,19/07/13,16:54,18:13,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,2,2,P,L,3
580,19/07/13,16:54,18:17,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,1,1,N,L,3
581,19/07/13,16:54,18:17,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,5,5,P,R,3
582,19/07/13,16:54,18:30,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,10,23,23,P,L,3
583,19/07/13,16:54,18:35,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,16,16,N,L,3
584,19/07/13,16:54,18:42,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,24,11,11,N,L,3
585,19/07/13,16:54,18:43,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,0,0,N,L,3
586,19/07/13,16:54,19:13,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,1,1,P,L,3
587,18/07/13,17:05,17:42,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,27,150,150,N,L,1
588,18/07/13,17:05,18:30,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,6,6,P,R,1
589,18/07/13,17:05,18:30,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,0,0,P,R,1
590,18/07/13,17:05,18:53,Erica_cinerea,Apis_mellifera,Apis_mellifera,9,84,84,N,L,1
591,18/07/13,17:05,19:05,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,3,3,N,L,1
592,19/07/13,16:28,16:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,13,1,1,N,L,2
593,19/07/13,16:28,16:42,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,28,28,P,L,2
594,19/07/13,16:28,16:42,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,50,50,P,L,2
595,19/07/13,16:36,17:14,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,24,24,P,L,2
596,19/07/13,16:36,17:32,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,33,33,P,L,2
597,19/07/13,16:36,17:33,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,6,6,N,L,2
598,19/07/13,16:36,17:35,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,14,14,P,L,2
599,19/07/13,16:28,17:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,50,50,P,L,2
600,19/07/13,16:28,17:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,0,0,N,L,2
601,19/07/13,16:36,17:51,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,251,251,P,L,2
602,19/07/13,16:36,17:55,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,62,62,P,L,2
603,19/07/13,16:36,17:59,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,57,57,P,L,2
604,19/07/13,16:28,18:05,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,41,41,P,L,2
605,19/07/13,16:28,18:13,Erica_cinerea,Apis_mellifera,Apis_mellifera,7,53,53,P,L,2
606,19/07/13,16:28,18:15,Erica_cinerea,Apis_mellifera,Apis_mellifera,10,60,60,P,L,2
607,19/07/13,16:36,18:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,15,15,N,L,2
608,19/07/13,16:36,19:04,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,66,66,P,L,2
609,19/07/13,16:28,19:15,Erica_cinerea,Apis_mellifera,Apis_mellifera,11,53,53,P,L,2
610,19/07/13,16:44,17:16,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,16,16,P,L,1
611,19/07/13,16:44,17:30,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,15,7,7,N,L,1
612,19/07/13,16:44,17:35,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,6,1,1,N,L,1
613,19/07/13,16:44,17:50,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,8,8,P,L,1
614,19/07/13,16:44,17:51,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,25,25,P,L,1
615,19/07/13,16:44,18:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,3,3,N,L,1
616,19/07/13,16:44,18:45,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,13,23,23,P,R,1
617,19/07/13,16:44,19:35,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,71,71,P,L,1
618,19/07/13,16:44,20:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,3,3,P,L,1
619,21/07/13,08:45,09:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,0,0,N,L,1
620,21/07/13,08:45,09:32,Erica_cinerea,Apis_mellifera,Apis_mellifera,7,3,3,N,L,1
621,21/07/13,08:45,09:37,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,12,12,N,L,1
622,21/07/13,08:45,09:45,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,24,24,N,L,1
623,21/07/13,08:45,10:20,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,3,20,20,N,L,1
624,21/07/13,08:45,10:27,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,91,91,P,L,1
625,21/07/13,08:45,10:30,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,35,35,P,L,1
626,21/07/13,08:45,10:40,Erica_cinerea,Apis_mellifera,Apis_mellifera,1,3,3,P,L,1
627,21/07/13,08:45,11:00,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,2,2,P,L,1
628,21/07/13,08:45,11:12,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,7,0,0,N,L,1
629,21/07/13,08:45,11:12,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,10,14,14,N,L,1
630,21/07/13,08:45,11:12,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,7,0,0,N,L,1
631,21/07/13,08:45,11:12,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,3,9,9,N,L,1
632,21/07/13,08:45,11:12,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,13,142,142,N,L,1
633,21/07/13,08:45,11:12,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,6,0,0,N,L,1
634,21/07/13,08:45,11:31,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,N,R,1
635,21/07/13,08:45,11:40,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,21,21,P,L,1
636,21/07/13,08:45,11:42,Erica_cinerea,Apis_mellifera,Apis_mellifera,7,3,3,N,L,1
637,22/07/13,15:30,16:29,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,4,57,57,N,L,1
638,22/07/13,15:30,16:50,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,N,L,1
639,22/07/13,15:30,16:57,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,N,L,1
640,22/07/13,15:30,17:28,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,16,31,31,N,L,1
641,22/07/13,15:30,17:36,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,4,4,N,L,1
642,22/07/13,15:30,17:48,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,4,4,N,L,1
643,22/07/13,15:30,18:15,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,0,0,N,L,1
644,22/07/13,15:30,19:02,Erica_tetralix,Bombus_lapidarius,Bombus_lapidarius,3,18,18,P,L,1
645,23/07/13,09:00,09:55,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,6,15,15,N,L,1
646,23/07/13,09:00,09:55,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,8,6,6,N,L,1
647,23/07/13,09:00,09:55,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,16,0,0,N,L,1
648,23/07/13,09:00,10:22,Erica_cinerea,Apis_mellifera,Apis_mellifera,3,3,3,N,L,1
649,23/07/13,09:00,10:45,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,1,1,N,L,1
650,23/07/13,09:00,11:06,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,5,1,1,P,L,1
651,23/07/13,09:00,11:06,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,5,104,104,P,L,1
652,23/07/13,09:00,11:53,Erica_tetralix,Bombus_pascuorum,Bombus_pascuorum,17,21,21,N,L,1
653,23/07/13,15:17,16:11,Erica_cinerea,Apis_mellifera,Apis_mellifera,6,4,4,N,L,2
654,23/07/13,15:17,16:11,Erica_cinerea,Apis_mellifera,Apis_mellifera,6,32,32,P,L,2
655,23/07/13,15:17,16:25,Erica_cinerea,Apis_mellifera,Apis_mellifera,10,9,9,N,L,2
656,23/07/13,15:37,16:26,Erica_cinerea,Apis_mellifera,Apis_mellifera,6,7,7,N,L,2
657,23/07/13,15:17,16:25,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,0,0,N,L,2
658,23/07/13,15:37,16:42,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,31,86,86,P,L,2
659,23/07/13,15:37,16:59,Erica_cinerea,Apis_mellifera,Apis_mellifera,11,26,26,P,L,2
660,23/07/13,15:17,17:39,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,65,65,P,L,2
661,23/07/13,15:36,18:08,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,105,105,P,L,2
662,23/07/13,15:17,18:11,Erica_cinerea,Apis_mellifera,Apis_mellifera,8,5,5,N,L,2
663,23/07/13,15:17,18:14,Erica_cinerea,Apis_mellifera,Apis_mellifera,1,9,9,N,L,2
664,24/07/13,09:11,09:50,Erica_cinerea,Apis_mellifera,Apis_mellifera,3,2,2,N,L,2
665,24/07/13,09:11,10:13,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,N,L,2
666,24/07/13,08:55,10:48,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,105,105,P,L,2
667,24/07/13,08:55,10:48,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,34,34,P,L,2
668,24/07/13,09:11,10:53,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,9,10,10,P,L,2
669,24/07/13,09:26,10:59,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,19,19,N,L,2
670,24/07/13,09:11,11:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,66,66,P,L,2
671,24/07/13,08:55,12:26,Erica_cinerea,Apis_mellifera,Apis_mellifera,7,5,5,P,L,2
672,24/07/13,09:11,13:41,Erica_cinerea,Apis_mellifera,Apis_mellifera,12,0,0,N,L,2
673,20/07/13,16:27,16:29,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,14,140,140,P,L,3
674,20/07/13,16:27,16:33,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,25,25,N,L,3
675,20/07/13,16:27,16:35,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,30,22,22,N,L,3
676,20/07/13,16:27,16:38,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,6,6,N,R,3
677,20/07/13,16:27,16:42,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,2,2,N,L,3
678,20/07/13,16:27,16:51,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,1,5,5,N,L,3
679,20/07/13,16:27,17:54,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,3,70,70,P,L,3
680,20/07/13,16:27,17:55,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,20,1,1,N,L,3
681,20/07/13,16:27,18:07,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,17,45,45,P,L,3
682,20/07/13,16:27,18:08,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,11,156,156,P,L,3
683,20/07/13,16:27,18:08,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,21,42,42,P,L,3
684,20/07/13,16:27,19:53,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,18,18,N,L,3
685,20/07/13,16:27,19:45,Erica_tetralix,Apis_mellifera,Apis_mellifera,5,6,6,N,L,3
686,22/07/13,08:38,09:08,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,17,17,P,L,3
687,22/07/13,08:38,09:32,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,14,21,21,P,L,3
688,22/07/13,08:38,09:50,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,9,2,2,N,L,3
689,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,1,1,N,L,3
690,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,25,12,12,N,L,3
691,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,0,0,N,L,3
692,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,1,1,N,L,3
693,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,5,5,P,L,3
694,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,1,1,N,L,3
695,22/07/13,08:38,09:52,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,2,2,P,L,3
696,22/07/13,08:38,09:53,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,52,52,P,R,3
697,22/07/13,08:38,09:53,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,5,5,P,R,3
698,22/07/13,08:38,11:23,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,23,23,P,L,3
699,23/07/13,15:47,16:11,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,8,78,78,P,L,3
700,23/07/13,15:47,16:11,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,10,21,21,P,L,3
701,23/07/13,15:47,16:11,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,11,151,151,P,L,3
702,23/07/13,15:47,16:11,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,5,6,6,P,L,3
703,23/07/13,15:47,16:13,Erica_tetralix,Bombus_jonellus,Bombus_jonellus,21,0,0,P,L,3
704,23/07/13,15:47,16:56,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,32,13,13,P,L,3
705,23/07/13,15:47,16:56,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,1,1,N,L,3
706,23/07/13,15:47,18:45,Erica_tetralix,Bombus_lapidarius,Bombus_lapidarius,4,39,39,P,L,3
707,23/07/13,15:47,18:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,0,0,P,L,3
708,23/07/13,15:47,18:27,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,38,38,P,L,3
709,23/07/13,15:47,18:27,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,0,0,NA,L,3
710,24/07/13,09:38,10:35,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,5,0,0,N,L,3
711,24/07/13,09:38,10:40,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,24,24,P,L,3
712,24/07/13,09:38,10:41,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,25,25,N,L,3
713,24/07/13,09:38,10:44,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,2,2,P,L,3
714,24/07/13,09:38,12:25,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,2,2,P,L,3
715,20/07/13,16:04,16:38,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,3,25,25,P,L,2
716,20/07/13,16:04,16:44,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,22,28,28,P,L,2
717,20/07/13,16:04,16:44,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,17,17,N,L,2
718,20/07/13,16:20,16:50,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,7,7,N,L,2
719,20/07/13,16:20,16:57,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,15,15,N,L,2
720,20/07/13,16:20,16:59,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,54,54,P,L,2
721,20/07/13,16:20,17:00,Erica_cinerea,Apis_mellifera,Apis_mellifera,7,2,2,N,L,2
722,20/07/13,16:20,17:03,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,117,117,P,L,2
723,20/07/13,16:04,17:05,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,0,0,N,L,2
724,20/07/13,16:20,17:05,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,4,4,N,L,2
725,20/07/13,16:20,17:19,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,10,10,P,L,2
726,20/07/13,16:20,17:22,Erica_cinerea,Apis_mellifera,Apis_mellifera,9,4,4,N,L,2
727,20/07/13,16:04,17:30,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,22,22,P,L,2
728,20/07/13,16:04,17:34,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,80,80,P,L,2
729,20/07/13,16:20,18:14,Erica_cinerea,Apis_mellifera,Apis_mellifera,3,8,8,P,L,2
730,20/07/13,16:04,19:18,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,14,9,9,N,L,2
731,20/07/13,16:20,19:53,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,26,26,P,L,2
732,22/07/13,08:03,10:12,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,4,4,N,L,2
733,22/07/13,08:03,10:46,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,8,8,N,L,2
734,22/07/13,08:03,10:47,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,N,L,2
