data_point_number,date,time_unbagged,time_of_visit,plant_species,visitor_group,visitor_extra_information,length_of_visit,conspecific_pollen_deposited_(before_control_values_removed),conspecific_pollen_deposited,Pollen_or_nectar_collected,Legitimate_oR_Robbing_visit,observer
354,03/07/13,13:40,14:30,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,8,8,P,R,3
355,03/07/13,13:40,14:30,Erica_tetralix,Apis_mellifera,Apis_mellifera,10,11,11,P,R,3
356,03/07/13,13:40,14:30,Erica_tetralix,Apis_mellifera,Apis_mellifera,21,0,0,P,R,3
357,03/07/13,13:40,14:30,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,8,8,P,R,3
358,03/07/13,13:40,14:30,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,28,0,0,P,R,3
359,03/07/13,13:40,14:30,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,1,1,P,R,3
360,03/07/13,13:40,14:30,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,2,2,P,L,3
361,04/07/13,13:30,15:01,Erica_cinerea,Apis_mellifera,Apis_mellifera,20,1,1,N,L,1
362,04/07/13,13:30,15:06,Erica_cinerea,Apis_mellifera,Apis_mellifera,21,0,0,N,L,1
363,04/07/13,13:30,16:09,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,10,10,N,L,1
364,04/07/13,13:30,16:12,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,40,40,N,L,1
365,04/07/13,13:30,16:37,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,0,0,N,R,1
366,04/07/13,13:07,15:46,Erica_tetralix,Apis_mellifera,Apis_mellifera,6,1,1,N,R,3
367,04/07/13,13:07,15:46,Erica_tetralix,Apis_mellifera,Apis_mellifera,39,20,20,N,R,3
368,04/07/13,13:07,15:46,Erica_tetralix,Apis_mellifera,Apis_mellifera,36,1,1,N,R,3
369,04/07/13,13:07,17:55,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,12,18,18,N,L,3
370,05/07/13,08:05,08:15,Erica_cinerea,Apis_mellifera,Apis_mellifera,5,5,5,N,L,1
371,05/07/13,08:05,09:46,Erica_cinerea,halictid,Lasioglossum,4,22,22,P,L,1
372,05/07/13,08:05,10:10,Erica_cinerea,halictid,Lasioglossum,17,0,0,P,L,1
373,05/07/13,08:05,10:18,Erica_cinerea,halictid,Lasioglossum,4,31,31,P,L,1
374,05/07/13,08:05,10:23,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,100,100,P,L,1
375,05/07/13,08:05,10:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,63,63,P,L,1
376,05/07/13,08:05,10:51,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,43,43,N,L,1
377,05/07/13,08:05,10:57,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,0,0,N,L,1
378,05/07/13,08:05,11:20,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,254,254,P,L,1
379,05/07/13,08:05,11:29,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,331,331,P,L,1
380,05/07/13,08:05,12:05,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,P,L,1
381,05/07/13,08:05,12:13,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,34,34,P,L,1
382,05/07/13,07:43,09:43,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,24,2,2,N,L,3
383,05/07/13,07:43,09:43,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,50,4,4,N,L,3
384,05/07/13,07:43,09:54,Erica_cinerea,Apis_mellifera,Apis_mellifera,24,1,1,N,L,3
385,05/07/13,07:43,09:54,Erica_cinerea,Apis_mellifera,Apis_mellifera,24,5,5,N,L,3
386,05/07/13,07:43,10:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,32,1,1,N,L,3
387,05/07/13,07:43,10:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,21,1,1,P,L,3
388,05/07/13,07:43,10:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,36,6,6,N,R,3
389,05/07/13,07:43,10:50,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,14,9,9,N,L,3
390,05/07/13,07:43,12:10,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,6,6,N,L,3
391,05/07/13,07:43,12:10,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,12,35,35,P,L,3
392,02/07/13,10:13,12:08,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,1,1,P,R,2
393,02/07/13,10:13,12:08,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,0,0,P,R,2
394,02/07/13,10:13,12:08,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,20,0,0,P,R,2
395,02/07/13,10:13,12:33,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,31,31,P,L,2
396,02/07/13,10:13,13:11,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,7,28,28,P,L,2
397,02/07/13,10:13,13:45,Erica_tetralix,Apis_mellifera,Apis_mellifera,9,0,0,P,R,2
398,02/07/13,10:13,14:23,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,103,103,P,L,2
399,02/07/13,10:13,14:23,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,8,8,P,L,2
400,02/07/13,10:13,14:23,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,28,28,P,L,2
401,02/07/13,10:13,14:25,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,10,73,73,P,L,2
402,02/07/13,10:13,14:25,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,2,0,0,N,L,2
403,02/07/13,10:13,14:52,Erica_cinerea,halictid,Lasioglossum,6,19,19,P,L,2
404,02/07/13,10:13,15:22,Erica_cinerea,Bombus_lapidarius,Bombus_lapidarius,3,2,2,P,L,2
405,03/07/13,13:21,13:40,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,3,0,0,NA,R,2
406,03/07/13,13:21,13:40,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,23,0,0,NA,R,2
407,04/07/13,13:15,16:08,Erica_tetralix,ant,Lasius,6,0,0,N,R,2
408,04/07/13,13:15,16:10,Erica_tetralix,ant,Lasius,65,3,3,N,R,2
409,04/07/13,13:15,18:05,Erica_tetralix,ant,Lasius,23,0,0,N,R,2
410,05/07/13,07:51,10:32,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,15,17,17,N,L,2
411,05/07/13,07:51,10:32,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,19,19,N,L,2
412,05/07/13,07:51,12:18,Erica_cinerea,halictid,Lasioglossum,11,52,52,P,L,2
413,07/07/13,08:50,09:32,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,11,11,P,L,1
414,07/07/13,08:50,09:32,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,1,1,P,L,1
415,07/07/13,08:50,10:23,Erica_tetralix,ant,Lasius,35,0,0,N,L,1
416,07/07/13,08:50,10:48,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,9,154,154,N,L,1
417,07/07/13,08:50,11:07,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,8,0,0,N,R,1
418,07/07/13,08:50,11:28,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,6,24,24,N,L,1
419,07/07/13,08:50,17:21,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,4,4,4,N,R,1
420,07/07/13,08:50,17:21,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,0,0,N,R,1
421,07/07/13,08:50,17:40,Erica_cinerea,Apis_mellifera,Apis_mellifera,4,72,72,P,L,1
422,08/07/13,17:00,17:30,Erica_cinerea,halictid,Lasioglossum,6,0,0,P,L,1
423,08/07/13,17:00,17:40,Erica_cinerea,halictid,Lasioglossum,2,0,0,P,L,1
424,08/07/13,17:00,18:16,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,21,0,0,P,R,1
425,08/07/13,17:00,18:18,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,16,11,11,P,R,1
426,08/07/13,17:00,18:20,Erica_tetralix,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,11,0,0,P,R,1
427,08/07/13,17:00,18:24,Erica_cinerea,Bombus_terrestris/lucorum,Bombus_terrestris/lucorum,5,42,42,P,R,1
