{ 2 4 7 11 21 24 26 31 37 40 }
{ 2 4 7 11 21 24 26 32 35 37 }
{ 2 4 7 11 21 24 26 35 37 40 }
{ 2 4 11 15 21 24 26 31 37 40 }
{ 2 4 11 15 21 24 26 32 35 37 }
{ 2 4 11 15 21 24 26 35 37 40 }
{ 2 6 7 11 19 21 24 26 31 37 }
{ 2 6 7 11 19 21 24 26 35 37 }
{ 2 6 11 15 19 21 24 26 31 37 }
{ 2 6 11 15 19 21 24 26 35 37 }
{ 2 7 11 19 21 24 26 31 37 40 }
{ 2 7 11 19 21 24 26 32 35 37 }
{ 2 7 11 19 21 24 26 35 37 40 }
{ 2 11 15 19 21 24 26 31 37 40 }
{ 2 11 15 19 21 24 26 32 35 37 }
{ 2 11 15 19 21 24 26 35 37 40 }
