,matched,unmatched
104,1744,9584
105,4542,6786
106,4542,6786
11,5199,6129
13,4020,7308
16,1744,9584
174,2317,9011
175,2317,9011
177,4659,6669
184,1653,9675
185,4150,7178
187,11328,0
192,1653,9675
193,11328,0
198,11328,0
201,3859,7469
204,1653,9675
205,6100,5228
207,1744,9584
220,2703,8625
23,6100,5228
248,11328,0
254,1653,9675
47,2913,8415
79,2703,8625
