,matched,unmatched
105,5468,13198
106,10872,7794
11,11242,7424
114,6244,12422
126,3920,14746
13,14954,3712
14,1876,16790
175,1876,16790
177,14954,3712
182,2524,16142
185,6244,12422
186,10872,7794
187,4982,13684
198,2540,16126
199,2524,16142
200,2524,16142
202,2524,16142
205,4982,13684
207,1876,16790
217,2540,16126
23,18666,0
231,1876,16790
243,2540,16126
246,1876,16790
253,2540,16126
26,18666,0
35,1876,16790
37,1876,16790
52,2540,16126
56,18666,0
