,matched,unmatched
104,0,16
105,16,0
106,10,6
11,8,8
13,16,0
16,0,16
174,0,16
175,0,16
177,8,8
184,0,16
185,10,6
187,16,0
192,0,16
193,16,0
198,16,0
201,0,16
204,0,16
205,10,6
207,0,16
220,0,16
23,10,6
248,16,0
254,0,16
47,8,8
79,0,16
